date,id,description,account_handle,account_name,account_id,account_subscribers,statistics_actual_favoriteCount,statistics_actual_retweetCount,hashtags,media
2023-03-23 20:15:52+00:00,1638998012876804124,"@RicardoLD2007 Pelo que eu sei os produtos do Agustin até que são bons
Então assim, SLA qualquer coisa é mais custo benefício que a base da Virgínia Sksksksksksk",vitg24,⚣ nobody³⁰,1370732549723598849,290,1,0,,
2023-03-23 20:15:41+00:00,1638997970216714240,minha foto do cartao do onibus parece uma review da base da virginia,fefuticaba,nandica di nada,888906002652909569,3766,6,0,,
2023-03-23 20:14:45+00:00,1638997733657792520,"Um filme com Pedro Pascal, Wagner Moura e Oscar Isaac 

Tudo pra mim",Brookexxsaku,Fui de base da Virginia,48475784,981,0,0,,
2023-03-23 20:14:04+00:00,1638997562198831104,"O Lyla tem horas que não segura a língua também 

Já tava muito bom ele dar o plot twist e ter feito do Moura a donzela indefesa que ele salvou

Aí foi lá e falou que era armação 😂😂😂

Pra quê dar narrativa pra esse micróbio",Brookexxsaku,Fui de base da Virginia,48475784,981,1,0,,
2023-03-23 20:13:07+00:00,1638997321877803028,Reboquei minha casa com a base da Virgínia choveu e agora não tenho onde dormir😭 #Justice #virginia #bolsonarogostoso #papailula,lacraia_suicida,lacraia suicida,1636427851984453637,1,0,0,"['Justice', 'virginia', 'bolsonarogostoso', 'papailula']",
2023-03-23 20:12:29+00:00,1638997165455429797,"Vou falar uma coisa atrasada sobre a base da Virginia WePink. Que diabo é ""Cobertura Essencial""?? Bastante problemático usar o termo ""essencial"" pra uma base reboco de parede. Não é essencial cobrir tudo com reboco, gente! Conceito péssimo, pra completar. Bjo!",erika_coutinhoo,"Érika ~~ 💙🧣💜 ... new day, new life",36142768,432,0,0,,
2023-03-23 20:11:23+00:00,1638996886534213649,@rosana a base do philo é 700000x melhor do que a base da Virgínia,philosopop,Pedro,228872611,87878,6,0,,
2023-03-23 20:10:01+00:00,1638996542882304008,"@ahhgabxs eu ja tive, mas quero ter de novo kkkk pq o presente de deus deu errado https://t.co/8d6sz0qZIP",ednankf,base da virginia,1251741197183389696,217,1,0,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1638996524473503766/pu/img/Zza-9cY2_9KG9Cmu.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1638996524473503766/pu/vid/384x304/c_tDD5QSR1JL_f0b.mp4?tag=12', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1638996524473503766/pu/vid/340x270/umvZLCpOsEz5E3-8.mp4?tag=12', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1638996524473503766/pu/pl/hggh1jUClYvbnqcS.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=11.543, views=8, altText=None)]"
2023-03-23 20:09:51+00:00,1638996502562459677,de kruijf jogando com a base da virginia,itslopesp,티아고,786648220600504320,551,0,0,,
2023-03-23 20:08:44+00:00,1638996218813480960,❤️❤️❤️❤️😭😭😭😭,Brookexxsaku,Fui de base da Virginia,48475784,981,0,0,,
2023-03-23 20:07:43+00:00,1638995965460860947,@siteptbr Tá mais barato q a base da Virgínia,TaylorCabello4,N sei o q to fazendo (Taylor's Version),1253459193455091715,26,0,0,,
2023-03-23 20:06:47+00:00,1638995726855294979,"@leehanxgyu Tenho uma base aqui perfeita pra gente, que eu ganhei da minha amiga Virgínia https://t.co/2E8O77jRyZ",R__uaan,Ruan,1267291607503646722,49,1,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7h7aGX0Bk-JZ0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7h7aGX0Bk-JZ0?format=jpg&name=orig', altText=None)]"
2023-03-23 20:06:38+00:00,1638995689924448276,"Nossa gente eu todo, ainda mais por barbas que não são marcadas e estão bem mais naturais 😮‍💨",bruardo97,bruuuuu 🐨🏳️‍🌈,2743882840,323,4,0,,
2023-03-23 20:05:11+00:00,1638995326014050320,@X_xluckluckyx_X Fui de base da Virgínia,proundaugustd,૮ sute⁷ advogada do army | FACE,4869151941,5096,0,0,,
2023-03-23 20:04:55+00:00,1638995260087980050,Eu em qualquer oportunidade: https://t.co/A1YvAaP8oS,giuubarretoo,base da virginia,1384156618359668747,49,1,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7hejKX0BEI8_4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7hejKX0BEI8_4?format=jpg&name=orig', altText=None)]"
2023-03-23 20:01:37+00:00,1638994429854851072,será que a base da virginia vem de brinde,mxrvelariley,cami ESV 🌴,705497001828458498,5760,5,0,,
2023-03-23 20:01:28+00:00,1638994390839603200,@andreelr td que eu vejo e gosto eu salvo no celular pra usar depois kkkkk,ednankf,base da virginia,1251741197183389696,217,1,0,,
2023-03-23 20:01:05+00:00,1638994294315819008,@_noraeller Humoooor,lumity666,base da virginia,1421705160565403648,521,1,0,,
2023-03-23 20:00:54+00:00,1638994246370729984,@emilyalmda @j_mocellin Todas fudidas mas fudidas juntas 🥰🫶🏻,giuubarretoo,base da virginia,1384156618359668747,49,2,0,,
2023-03-23 20:00:27+00:00,1638994137029677056,"@roncagliojulia Comprei unha postiça por 5,50 na kirei",giuubarretoo,base da virginia,1384156618359668747,49,1,0,,
2023-03-23 19:59:10+00:00,1638993811148886036,"@Meiodeceu já é o terceiro horóscopo diferente que eu leio que fala as mesmas coisas de maneiras diferentes, dps eu acredito e nao da certo e eu fico 🤡",ednankf,base da virginia,1251741197183389696,217,3,1,,
2023-03-23 19:58:52+00:00,1638993735202623515,"@HenriqueLP03 *viralizou pela resenha da base da virginia*  ... 
Ela nunca disse que nasceu com genitalia diferente.",darksousnumber,Vitor,1350476151182024706,8,2,0,,
